total_lag,max_lag,min_lag,mean_lag,std_lag,lag_cv,total_throughput,throughput_cv,throughput_std,mean_commit_gap,max_commit_gap,max_partition_share,active_ratio,num_partitions,label
96,96,96,96.0,0.0,0.0,9.496614150518738,0.0,0.0,96.0,96,0.9999999998946993,1.0,1,slow_consumer
116,116,116,116.0,0.0,0.0,9.977562815552641,0.0,0.0,116.0,116,0.9999999998997751,1.0,1,slow_consumer
136,136,136,136.0,0.0,0.0,9.977406167083988,0.0,0.0,136.0,136,0.9999999998997735,1.0,1,slow_consumer
156,156,156,156.0,0.0,0.0,9.980227779689947,0.0,0.0,156.0,156,0.9999999998998019,1.0,1,slow_consumer
176,176,176,176.0,0.0,0.0,9.976600454575566,0.0,0.0,176.0,176,0.9999999998997654,1.0,1,slow_consumer
196,196,196,196.0,0.0,0.0,9.977578243319414,0.0,0.0,196.0,196,0.9999999998997753,1.0,1,slow_consumer
216,216,216,216.0,0.0,0.0,9.980607756873455,0.0,0.0,216.0,216,0.9999999998998057,1.0,1,slow_consumer
236,236,236,236.0,0.0,0.0,9.976499601349513,0.0,0.0,236.0,236,0.9999999998997644,1.0,1,slow_consumer
256,256,256,256.0,0.0,0.0,9.97883279909764,0.0,0.0,256.0,256,0.9999999998997878,1.0,1,slow_consumer
276,276,276,276.0,0.0,0.0,9.980106668043572,0.0,0.0,276.0,276,0.9999999998998007,1.0,1,slow_consumer
296,296,296,296.0,0.0,0.0,9.979610378470825,0.0,0.0,296.0,296,0.9999999998997957,1.0,1,slow_consumer
316,316,316,316.0,0.0,0.0,9.980485448559847,0.0,0.0,316.0,316,0.9999999998998045,1.0,1,slow_consumer
336,336,336,336.0,0.0,0.0,9.979795590815684,0.0,0.0,336.0,336,0.9999999998997975,1.0,1,slow_consumer
356,356,356,356.0,0.0,0.0,9.979513026020395,0.0,0.0,356.0,356,0.9999999998997947,1.0,1,slow_consumer
376,376,376,376.0,0.0,0.0,9.977859511738837,0.0,0.0,376.0,376,0.9999999998997781,1.0,1,slow_consumer
396,396,396,396.0,0.0,0.0,9.98265894578005,0.0,0.0,396.0,396,0.9999999998998262,1.0,1,slow_consumer
416,416,416,416.0,0.0,0.0,9.980464074599157,0.0,0.0,416.0,416,0.9999999998998043,1.0,1,slow_consumer
436,436,436,436.0,0.0,0.0,9.979412113899809,0.0,0.0,436.0,436,0.9999999998997937,1.0,1,slow_consumer
456,456,456,456.0,0.0,0.0,9.98021946801243,0.0,0.0,456.0,456,0.9999999998998018,1.0,1,slow_consumer
476,476,476,476.0,0.0,0.0,9.97961631465729,0.0,0.0,476.0,476,0.9999999998997957,1.0,1,slow_consumer
495,495,495,495.0,0.0,0.0,9.481155478323688,0.0,0.0,495.0,495,0.9999999998945276,1.0,1,slow_consumer
515,515,515,515.0,0.0,0.0,9.977954458245144,0.0,0.0,515.0,515,0.9999999998997791,1.0,1,slow_consumer
535,535,535,535.0,0.0,0.0,9.987243019467165,0.0,0.0,535.0,535,0.9999999998998722,1.0,1,slow_consumer
555,555,555,555.0,0.0,0.0,9.979911945676475,0.0,0.0,555.0,555,0.9999999998997987,1.0,1,slow_consumer
575,575,575,575.0,0.0,0.0,9.980021179239396,0.0,0.0,575.0,575,0.9999999998997998,1.0,1,slow_consumer
595,595,595,595.0,0.0,0.0,9.97799243735362,0.0,0.0,595.0,595,0.9999999998997794,1.0,1,slow_consumer
615,615,615,615.0,0.0,0.0,9.986938631090915,0.0,0.0,615.0,615,0.9999999998998692,1.0,1,slow_consumer
635,635,635,635.0,0.0,0.0,9.98087257058088,0.0,0.0,635.0,635,0.9999999998998084,1.0,1,slow_consumer
655,655,655,655.0,0.0,0.0,9.984523206323168,0.0,0.0,655.0,655,0.999999999899845,1.0,1,slow_consumer
675,675,675,675.0,0.0,0.0,9.980194533062948,0.0,0.0,675.0,675,0.9999999998998016,1.0,1,slow_consumer
695,695,695,695.0,0.0,0.0,9.980420139523014,0.0,0.0,695.0,695,0.9999999998998038,1.0,1,slow_consumer
715,715,715,715.0,0.0,0.0,9.978591833445249,0.0,0.0,715.0,715,0.9999999998997855,1.0,1,slow_consumer
735,735,735,735.0,0.0,0.0,9.980776381017197,0.0,0.0,735.0,735,0.9999999998998074,1.0,1,slow_consumer
755,755,755,755.0,0.0,0.0,9.978398357133205,0.0,0.0,755.0,755,0.9999999998997835,1.0,1,slow_consumer
775,775,775,775.0,0.0,0.0,9.978426843971935,0.0,0.0,775.0,775,0.9999999998997838,1.0,1,slow_consumer
795,795,795,795.0,0.0,0.0,9.978862475475463,0.0,0.0,795.0,795,0.9999999998997882,1.0,1,slow_consumer
815,815,815,815.0,0.0,0.0,9.98448161229359,0.0,0.0,815.0,815,0.9999999998998446,1.0,1,slow_consumer
835,835,835,835.0,0.0,0.0,9.978318832235912,0.0,0.0,835.0,835,0.9999999998997827,1.0,1,slow_consumer
855,855,855,855.0,0.0,0.0,9.978493313894841,0.0,0.0,855.0,855,0.9999999998997845,1.0,1,slow_consumer
875,875,875,875.0,0.0,0.0,9.979077337716133,0.0,0.0,875.0,875,0.9999999998997904,1.0,1,slow_consumer
895,895,895,895.0,0.0,0.0,9.98505801757638,0.0,0.0,895.0,895,0.9999999998998503,1.0,1,slow_consumer
914,914,914,914.0,0.0,0.0,9.473629801765535,0.0,0.0,914.0,914,0.9999999998944439,1.0,1,slow_consumer
934,934,934,934.0,0.0,0.0,9.978493313894841,0.0,0.0,934.0,934,0.9999999998997845,1.0,1,slow_consumer
954,954,954,954.0,0.0,0.0,9.983939733176292,0.0,0.0,954.0,954,0.9999999998998391,1.0,1,slow_consumer
8,8,8,8.0,0.0,0.0,0.0,0.0,0.0,8.0,8,0.0,0.0,1,partition_imbalance
10,10,10,10.0,0.0,0.0,9.503489506879156,0.0,0.0,10.0,10,0.9999999998947755,1.0,1,partition_imbalance
10,10,10,10.0,0.0,0.0,9.984859536492326,0.0,0.0,10.0,10,0.9999999998998483,1.0,1,partition_imbalance
10,10,10,10.0,0.0,0.0,9.98005798673943,0.0,0.0,10.0,10,0.9999999998998002,1.0,1,partition_imbalance
10,10,10,10.0,0.0,0.0,9.979422798615973,0.0,0.0,10.0,10,0.9999999998997938,1.0,1,partition_imbalance
10,10,10,10.0,0.0,0.0,9.98035958099805,0.0,0.0,10.0,10,0.9999999998998031,1.0,1,partition_imbalance
10,10,10,10.0,0.0,0.0,9.978540792953387,0.0,0.0,10.0,10,0.9999999998997849,1.0,1,partition_imbalance
10,10,10,10.0,0.0,0.0,9.981478251164242,0.0,0.0,10.0,10,0.9999999998998145,1.0,1,partition_imbalance
10,10,10,10.0,0.0,0.0,9.97800074532214,0.0,0.0,10.0,10,0.9999999998997795,1.0,1,partition_imbalance
10,10,10,10.0,0.0,0.0,9.982290691129519,0.0,0.0,10.0,10,0.9999999998998226,1.0,1,partition_imbalance
10,10,10,10.0,0.0,0.0,9.980430826397825,0.0,0.0,10.0,10,0.9999999998998039,1.0,1,partition_imbalance
9,9,9,9.0,0.0,0.0,9.48045729785032,0.0,0.0,9.0,9,0.9999999998945198,1.0,1,partition_imbalance
9,9,9,9.0,0.0,0.0,9.980034239934138,0.0,0.0,9.0,9,0.9999999998997999,1.0,1,partition_imbalance
10,10,10,10.0,0.0,0.0,9.978355627180079,0.0,0.0,10.0,10,0.999999999899783,1.0,1,partition_imbalance
0,0,0,0.0,0.0,0.0,9.9825722253037,0.0,0.0,0.0,0,0.9999999998998255,1.0,1,partition_imbalance
0,0,0,0.0,0.0,0.0,9.979210295781009,0.0,0.0,0.0,0,0.9999999998997917,1.0,1,partition_imbalance
0,0,0,0.0,0.0,0.0,9.980042551303136,0.0,0.0,0.0,0,0.9999999998998,1.0,1,partition_imbalance
0,0,0,0.0,0.0,0.0,9.977733710401212,0.0,0.0,0.0,0,0.9999999998997768,1.0,1,partition_imbalance
0,0,0,0.0,0.0,0.0,9.975253935528,0.0,0.0,0.0,0,0.999999999899752,1.0,1,partition_imbalance
0,0,0,0.0,0.0,0.0,9.97758773735345,0.0,0.0,0.0,0,0.9999999998997754,1.0,1,partition_imbalance
0,0,0,0.0,0.0,0.0,9.979510651594113,0.0,0.0,0.0,0,0.9999999998997947,1.0,1,partition_imbalance
0,0,0,0.0,0.0,0.0,9.98041420238023,0.0,0.0,0.0,0,0.9999999998998037,1.0,1,partition_imbalance
0,0,0,0.0,0.0,0.0,9.980510384963026,0.0,0.0,0.0,0,0.9999999998998047,1.0,1,partition_imbalance
0,0,0,0.0,0.0,0.0,9.979965374837843,0.0,0.0,0.0,0,0.9999999998997993,1.0,1,partition_imbalance
0,0,0,0.0,0.0,0.0,9.979333760013704,0.0,0.0,0.0,0,0.9999999998997929,1.0,1,partition_imbalance
1,1,1,1.0,0.0,0.0,9.980294273608473,0.0,0.0,1.0,1,0.9999999998998026,1.0,1,partition_imbalance
1,1,1,1.0,0.0,0.0,9.980474761568058,0.0,0.0,1.0,1,0.9999999998998044,1.0,1,partition_imbalance
1,1,1,1.0,0.0,0.0,9.979663804403248,0.0,0.0,1.0,1,0.9999999998997963,1.0,1,partition_imbalance
1,1,1,1.0,0.0,0.0,9.977586550598208,0.0,0.0,1.0,1,0.9999999998997754,1.0,1,partition_imbalance
1,1,1,1.0,0.0,0.0,9.982196849933642,0.0,0.0,1.0,1,0.9999999998998217,1.0,1,partition_imbalance
1,1,1,1.0,0.0,0.0,9.980418952093892,0.0,0.0,1.0,1,0.9999999998998038,1.0,1,partition_imbalance
1,1,1,1.0,0.0,0.0,9.976512652828609,0.0,0.0,1.0,1,0.9999999998997645,1.0,1,partition_imbalance
1,1,1,1.0,0.0,0.0,9.980233716610936,0.0,0.0,1.0,1,0.9999999998998019,1.0,1,partition_imbalance
1,1,1,1.0,0.0,0.0,9.978867223712296,0.0,0.0,1.0,1,0.9999999998997882,1.0,1,partition_imbalance
0,0,0,0.0,0.0,0.0,9.480223842023424,0.0,0.0,0.0,0,0.9999999998945173,1.0,1,partition_imbalance
0,0,0,0.0,0.0,0.0,9.980798943834829,0.0,0.0,0.0,0,0.9999999998998076,1.0,1,partition_imbalance
0,0,0,0.0,0.0,0.0,9.98006867283868,0.0,0.0,0.0,0,0.9999999998998003,1.0,1,partition_imbalance
1,1,1,1.0,0.0,0.0,9.979148564810277,0.0,0.0,1.0,1,0.999999999899791,1.0,1,partition_imbalance
1,1,1,1.0,0.0,0.0,9.978468387569976,0.0,0.0,1.0,1,0.9999999998997842,1.0,1,partition_imbalance
1,1,1,1.0,0.0,0.0,9.98660810535227,0.0,0.0,1.0,1,0.9999999998998659,1.0,1,partition_imbalance
